"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT16","WT17","WT18","WT19","WT22"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-27","3.80"," 1808"," 1619","0.00","0.0","18.0",,"26","7","  340","  330","0.0","8.9","12.1","    1",,,,,,,"    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-02-28","5.37"," 2237"," 2206","0.00","0.0","18.0",,"21","-2","   40","   40","0.0","8.9","13.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-01","2.91"," 2354"," 2132","0.00","0.0","18.0",,"31","-2","  170","  160","0.0","8.1","8.9","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-02","3.36"," 1450"," 1449","0.00","0.0","18.0",,"26","7","  350","  350","0.0","10.1","12.1","    1","    1",,,,,"    1","    1","    1",,,"    1",,,,,"    1"
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-03","2.68"," 1835"," 2016","0.00","0.0","18.0",,"28","22","   60","   90","0.0","8.9","8.9","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-04","13.42"," 1413"," 1413","0.00","0.0","16.0",,"38","24","  150","  140","0.0","25.9","34.9","    1",,,,,,,"    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-05","8.95"," 0307"," 0250","0.00","0.0","16.0",,"36","25","  160","  160","0.0","17.0","21.9","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-06","5.59"," 1206"," 0919","0.03","0.0","15.0",,"37","28","  150","  140","0.0","13.0","25.1","    1",,,,"    1",,"    1","    1",,,,"    1","    1",,,"    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-07","4.70"," 1519"," 1515","0.00","0.0","14.0",,"37","33","  310","  320","0.0","23.0","28.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-08","12.08"," 1402"," 1258","0.01","0.0","11.0",,"36","34","  150","  150","0.0","21.0","28.0","    1",,,,"    1",,,,,,,"    1","    1",,,"    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-09","6.04"," 0115"," 0114","0.04","0.0","10.0",,"39","34","  150","  160","0.0","14.1","16.1","    1",,,,"    1",,"    1","    1",,,,"    1","    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-10","9.62"," 1924"," 1853","0.65","0.0","9.0",,"37","34","  360","  360","0.0","15.0","17.9","    1",,,,"    1",,,,,,,"    1","    1",,,"    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-11","10.51"," 1816"," 2043","0.51","0.0","8.0",,"40","35","  360","  360","0.0","23.9","29.1","    1","    1",,,"    1",,,,"    1",,,"    1","    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-12","14.09"," 1438"," 1601","0.07","0.0","7.0",,"37","34","  350","  360","0.0","19.9","23.0","    1",,,,"    1",,,,,,,"    1","    1",,,"    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-13","6.04"," 1521"," 1520","0.00","0.0","7.0",,"41","34","   10","   10","0.0","13.0","16.1","    1","    1",,,,,,,"    1",,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-14","8.50"," 1543"," 1605","0.02","0.0","5.0",,"38","34","  340","  340","0.0","15.0","17.9","    1","    1",,,,,,,,,,"    1","    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-15","6.49"," 0001"," 0000","0.08","0.0","4.0",,"40","34","  340","  340","0.0","12.1","14.1","    1",,,,"    1",,,,,,,"    1","    1",,,"    1",
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-16","7.16"," 1418"," 1538","0.00","0.0","1.0",,"45","31","  320","  330","0.0","13.0","16.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-17","12.30"," 1536"," 1552","0.00","0.0","0.0",,"46","26","  190","  180","0.0","25.1","30.0","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-18","10.96"," 2018"," 2017","0.00","0.0","0.0",,"47","30","  300","  300","0.0","23.9","30.0","    1",,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-19","18.79"," 0654"," 0703","0.00","0.0","0.0",,"31","22","  340","  330","0.0","29.1","33.1",,,,,,,,,,,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-20","9.84"," 1301"," 1300","0.00","0.0","0.0",,"39","19","  250","  250","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-21","11.86"," 2340"," 2339","0.00","0.0","0.0",,"53","30","  160","  160","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-22","12.75"," 0937"," 0937","0.00","0.0","0.0",,"50","36","  160","  150","0.0","23.0","32.0","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-23","16.55"," 1035"," 1500","0.00","0.0","0.0",,"41","30","  360","  350","0.0","25.9","30.0","    1",,,,,,,,,,,"    1",,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-24","13.65"," 1849"," 1852","0.00","0.0","0.0",,"52","22","   10","   20","0.0","29.1","33.1","    1",,,,"    1",,,,,,,,"    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-25","10.07"," 0202"," 2354","0.00","0.0","0.0",,"28","14","   30","   20","0.0","23.9","31.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-26","20.13"," 1104"," 1119","0.00","0.0","0.0",,"53","26","  160","  170","0.0","32.0","40.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-27","15.21"," 1340"," 1345","0.00","0.0","0.0",,"44","29","  350","  350","0.0","25.1","30.0",,,,,"    1",,,,,,,,"    1",,"    1",,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-28","6.49"," 2321"," 2305","0.00","0.0","0.0",,"53","23","  160","  160","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-29","18.57"," 2202"," 2206","0.00","0.0","0.0",,"65","37","  160","  150","0.0","28.0","36.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-30","14.32"," 1548"," 1545","0.00","0.0","0.0",,"68","46","  180","  180","0.0","23.9","30.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-03-31","8.50"," 0231"," 0225","0.00","0.0","0.0",,"66","42","  310","  310","0.0","23.9","34.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-01","16.11"," 1415"," 1414","0.00","0.0","0.0",,"60","45","   30","   30","0.0","31.1","38.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-02","20.13"," 1605"," 1247","0.00","0.0","0.0",,"57","37","  180","  180","0.0","32.0","38.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-03","12.53"," 0008"," 0013","0.00","0.0","0.0",,"59","36","  280","  290","0.0","31.1","36.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-04","7.38"," 1735"," 2214","0.00","0.0","0.0",,"62","32","  290","  210","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-05","7.83"," 1357"," 1236","0.00","0.0","0.0",,"62","35","  280","  260","0.0","17.0","21.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-06","10.29"," 1831"," 1808","0.00","0.0","0.0",,"63","32","  360","  360","0.0","25.1","31.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-07","13.20"," 1641"," 1455","0.00","0.0","0.0",,"52","30","  360","   10","0.0","28.0","34.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-08","3.80"," 2333"," 2352","0.00","0.0","0.0",,"55","24","  130","  120","0.0","12.1","14.1",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-09","11.18"," 1355"," 0800","0.00","0.0","0.0",,"61","37","  320","  160","0.0","23.0","28.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-10","10.07"," 1522"," 1522","0.00","0.0","0.0",,"63","30","  270","  270","0.0","30.0","38.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-11","6.26"," 2032"," 1956","0.00","0.0","0.0",,"67","27","   40","   30","0.0","21.9","31.1",,,,,"    1",,,,,,,,"    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-12","17.22"," 2233"," 2226","0.00","0.0","0.0",,"64","43","  110","  100","0.0","28.0","36.0",,,,,,,,,,,,,"    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-13","22.59"," 1706"," 2144","0.40","0.0","0.0",,"69","47","  130","  120","0.0","34.9","45.0","    1",,,,"    1",,,,,,,"    1","    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-14","16.55"," 0009"," 0117","0.00","0.0","0.0",,"76","54","  140","  150","0.0","34.9","44.1",,,,,,,,,,,,,"    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-15","15.43"," 2344"," 2348","0.00","0.0","0.0",,"59","43","  350","  350","0.0","29.1","34.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-16","15.66"," 1021"," 1020","0.00","0.0","0.0",,"61","37","  350","  350","0.0","28.0","34.9",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-17","1.34"," 1307"," 1624","0.00","0.0","0.0",,"66","27","  100","   90","0.0","10.1","15.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-18","2.91"," 0418"," 0419","0.00","0.0","0.0",,"69","34","  340","  340","0.0","23.0","25.1",,,,,,,,"    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-19","3.36"," 1547"," 1539","0.00","0.0","0.0",,"73","38","  160","  110","0.0","14.1","17.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-20","7.61"," 1901"," 1900","0.00","0.0","0.0",,"76","35","  350","  360","0.0","23.9","30.0",,,,,,,"    1","    1",,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-21","5.82"," 1431"," 1429","0.00","0.0","0.0",,"65","33","   80","   80","0.0","14.1","23.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-22","5.14"," 0716"," 1055","0.00","0.0","0.0",,"69","38","  170","  210","0.0","12.1","17.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-23","10.07"," 1452"," 1451","0.00","0.0","0.0",,"77","42","  120","  110","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-24","10.51"," 1414"," 1414","0.05","0.0","0.0",,"66","50","   60","   60","0.0","21.9","25.9","    1",,,,"    1",,,,,,,"    1","    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-25","10.96"," 1735"," 1735","0.08","0.0","0.0",,"63","48","  350","  340","0.0","21.9","25.1",,,,,"    1",,,,,,,,"    1",,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-26","7.38"," 1414"," 1646","0.00","0.0","0.0",,"64","46","   10","   10","0.0","17.0","21.0",,,,,,,,,,,,,,,,,
"USW00014914","FARGO HECTOR INTERNATIONAL AIRPORT, ND US","2010-04-27","6.04"," 2251"," 2250","0.00","0.0","0.0",,"68","34","  130","  100","0.0","21.9","38.9",,,,,,,,,,,,,,,,,
